"id-to","entity-to-name","year","value"
"IQ","Iraq",2007,4230897225.11
"IN","India",2004,207735193.54
"IN","India",1977,0
"IN","India",2013,102894946.82
"IR","Iran",2006,2643075.98
"IR","Iran",2003,672477.51
"IR","Iran",2015,674800
"IN","India",1985,0
"IQ","Iraq",2006,5538272678.2
"IN","India",1975,0
"IN","India",1974,0
"IQ","Iraq",2009,2576240602.72
"IQ","Iraq",2003,1962123465.78
"IQ","Iraq",2014,361448177.22
"IQ","Iraq",2013,496944511.73
"IN","India",1973,0
"IN","India",1979,0
"IR","Iran",2005,4518508.69
"IN","India",2012,89355835.16
"IQ","Iraq",2005,13399879802.95
"IQ","Iraq",2010,1755004626.21
"IR","Iran",1991,0
"IQ","Iraq",2004,3724031544.2
"IQ","Iraq",2008,3034990494.95
"IQ","Iraq",2015,347537901
"IQ","Iraq",2011,1357134507.41
"IR","Iran",1990,0
"IR","Iran",2010,1688771.75
"IQ","Iraq",2002,51670.59
"IR","Iran",2007,2470882.55
"IN","India",1986,0
"IN","India",2014,108556533.19
"IN","India",1988,0
"IN","India",1989,0
"IN","India",1987,0
"IR","Iran",2014,1052645.64
"IN","India",1976,0
"IN","India",2015,92573153
"IR","Iran",2005,4518508.69
"IR","Iran",2004,5851070.75
"IR","Iran",2007,2470882.55
"IN","India",1974,0
"IR","Iran",2003,672477.51
"IR","Iran",2006,2643075.98
"IR","Iran",2002,291938.83
"IQ","Iraq",2009,2576240602.72
"IR","Iran",2014,1052645.64
"IN","India",1979,0
"IN","India",1973,0
"IN","India",2013,102894946.82
"IQ","Iraq",2008,3034990494.95
"IQ","Iraq",2010,1755004626.21
"IN","India",1985,0
"IR","Iran",2010,1688771.75
"IN","India",2004,207735193.54
"IQ","Iraq",2011,1357134507.41
"IQ","Iraq",2006,5538272678.2
"IQ","Iraq",2004,3724031544.2
"IQ","Iraq",2002,51670.59
"IR","Iran",2009,801279.78
"IR","Iran",2015,674800
"IN","India",1975,0
"IN","India",1989,0
"IN","India",2014,108556533.19
"IN","India",1977,0
"IR","Iran",1991,0
"IR","Iran",1990,0
"IQ","Iraq",2014,361448177.22
"IN","India",1978,0
"IN","India",1987,0
"IQ","Iraq",2005,13399879802.95
"IN","India",1986,0
"IQ","Iraq",2012,609342720.8
"IN","India",2012,89355835.16
"IQ","Iraq",2003,1962123465.78
"IQ","Iraq",2007,4230897225.11
"IQ","Iraq",2013,496944511.73
"IN","India",1988,0
"IQ","Iraq",2015,347537901
"IN","India",1976,0
"IR","Iran",2006,2643075.98
"IR","Iran",2005,4518508.69
"IR","Iran",2003,672477.51
"IQ","Iraq",2008,3034990494.95
"IQ","Iraq",2002,51670.59
"IQ","Iraq",2003,1962123465.78
"IQ","Iraq",2011,1357134507.41
"IQ","Iraq",2012,609342720.8
"IQ","Iraq",2010,1755004626.21
"IQ","Iraq",2015,347537901
"IR","Iran",2009,801279.78
"IR","Iran",2015,674800
"IR","Iran",2002,291938.83
"IR","Iran",2004,5851070.75
"IQ","Iraq",2007,4230897225.11
"IQ","Iraq",2013,496944511.73
"IQ","Iraq",2014,361448177.22
"IN","India",1986,0
"IN","India",1988,0
"IN","India",1989,0
"IN","India",1976,0
"IN","India",2012,89355835.16
"IN","India",1978,0
"IN","India",2014,108556533.19
"IQ","Iraq",2003,1962123465.78
"IN","India",1975,0
"IQ","Iraq",2014,361448177.22
"IQ","Iraq",2010,1755004626.21
"IN","India",1987,0
"IR","Iran",2002,291938.83
"IN","India",2004,207735193.54
"IQ","Iraq",2013,496944511.73
"IN","India",1973,0
"IN","India",2015,92573153
"IN","India",1979,0
"IN","India",1985,0
"IQ","Iraq",2008,3034990494.95
"IN","India",1974,0
"IQ","Iraq",2009,2576240602.72
"IR","Iran",2005,4518508.69
"IR","Iran",2003,672477.51
"IR","Iran",2006,2643075.98
"IR","Iran",2014,1052645.64
"IR","Iran",2004,5851070.75
"IN","India",1977,0
"IQ","Iraq",2005,13399879802.95
"IQ","Iraq",2015,347537901
"IQ","Iraq",2006,5538272678.2
"IQ","Iraq",2004,3724031544.2
"IN","India",2013,102894946.82
"IQ","Iraq",2002,51670.59
"IQ","Iraq",2007,4230897225.11
"IQ","Iraq",2012,609342720.8
"IR","Iran",2009,801279.78
"IR","Iran",2010,1688771.75
"IR","Iran",2015,674800
"IR","Iran",1991,0
"IQ","Iraq",2011,1357134507.41
"IR","Iran",2007,2470882.55
"IR","Iran",1990,0
"IN","India",1989,0
"IN","India",1974,0
"IN","India",1975,0
"IQ","Iraq",2010,1755004626.21
"IN","India",2013,102894946.82
"IQ","Iraq",2004,3724031544.2
"IN","India",1976,0
"IN","India",1985,0
"IR","Iran",1990,0
"IR","Iran",2010,1688771.75
"IQ","Iraq",2002,51670.59
"IQ","Iraq",2008,3034990494.95
"IQ","Iraq",2009,2576240602.72
"IQ","Iraq",2006,5538272678.2
"IN","India",1977,0
"IR","Iran",2015,674800
"IR","Iran",1991,0
"IN","India",1987,0
"IN","India",1979,0
"IQ","Iraq",2003,1962123465.78
"IN","India",1978,0
"IN","India",1973,0
"IN","India",2015,92573153
"IN","India",2004,207735193.54
"IN","India",2014,108556533.19
"IQ","Iraq",2007,4230897225.11
"IQ","Iraq",2012,609342720.8
"IR","Iran",2009,801279.78
"IR","Iran",2004,5851070.75
"IR","Iran",2005,4518508.69
"IN","India",2012,89355835.16
"IN","India",1988,0
"IR","Iran",2007,2470882.55
"IQ","Iraq",2011,1357134507.41
"IR","Iran",2014,1052645.64
"IQ","Iraq",2005,13399879802.95
"IN","India",1986,0
"IQ","Iraq",2015,347537901
"IQ","Iraq",2014,361448177.22
"IR","Iran",2002,291938.83
"IR","Iran",2003,672477.51
"IQ","Iraq",2013,496944511.73
"IR","Iran",2006,2643075.98
"IN","India",1989,0
"IN","India",1978,0
"IQ","Iraq",2002,51670.59
"IQ","Iraq",2008,3034990494.95
"IN","India",1976,0
"IN","India",2004,207735193.54
"IQ","Iraq",2010,1755004626.21
"IN","India",1975,0
"IN","India",1974,0
"IN","India",1979,0
"IN","India",1977,0
"IQ","Iraq",2004,3724031544.2
"IN","India",2015,92573153
"IN","India",1986,0
"IN","India",2012,89355835.16
"IN","India",1985,0
"IQ","Iraq",2006,5538272678.2
"IN","India",2013,102894946.82
"IN","India",2014,108556533.19
"IN","India",1987,0
"IN","India",1973,0
"IN","India",1988,0
"IQ","Iraq",2009,2576240602.72
"IQ","Iraq",2005,13399879802.95
"IQ","Iraq",2013,496944511.73
"IQ","Iraq",2014,361448177.22
"IQ","Iraq",2010,1755004626.21
"IQ","Iraq",2004,3724031544.2
"IQ","Iraq",2008,3034990494.95
"IQ","Iraq",2009,2576240602.72
"IQ","Iraq",2003,1962123465.78
"IQ","Iraq",2002,51670.59
"IR","Iran",2009,801279.78
"IR","Iran",2015,674800
"IR","Iran",2002,291938.83
"IN","India",1989,0
"IQ","Iraq",2015,347537901
"IQ","Iraq",2005,13399879802.95
"IR","Iran",1991,0
"IQ","Iraq",2006,5538272678.2
"IR","Iran",2004,5851070.75
"IN","India",1974,0
"IR","Iran",2003,672477.51
"IN","India",1976,0
"IQ","Iraq",2012,609342720.8
"IN","India",1978,0
"IN","India",1975,0
"IQ","Iraq",2007,4230897225.11
"IR","Iran",2006,2643075.98
"IQ","Iraq",2011,1357134507.41
"IR","Iran",2005,4518508.69
"IN","India",1979,0
"IN","India",2004,207735193.54
"IR","Iran",2014,1052645.64
"IN","India",2013,102894946.82
"IN","India",1987,0
"IR","Iran",2010,1688771.75
"IN","India",1977,0
"IN","India",1973,0
"IN","India",2015,92573153
"IN","India",2012,89355835.16
"IN","India",1985,0
"IN","India",1986,0
"IN","India",2014,108556533.19
"IN","India",1988,0
"IR","Iran",2007,2470882.55
"IR","Iran",1990,0
"IR","Iran",2003,672477.51
"IR","Iran",2009,801279.78
"IR","Iran",2006,2643075.98
"IR","Iran",2005,4518508.69
"IQ","Iraq",2012,609342720.8
"IR","Iran",2004,5851070.75
"IR","Iran",2015,674800
"IQ","Iraq",2011,1357134507.41
"IR","Iran",2007,2470882.55
"IR","Iran",2010,1688771.75
"IR","Iran",2014,1052645.64
"IR","Iran",2002,291938.83
"IR","Iran",1990,0
"IR","Iran",1991,0
"IR","Iran",2003,672477.51
"IQ","Iraq",2011,1357134507.41
"IR","Iran",2006,2643075.98
"IQ","Iraq",2012,609342720.8
"IR","Iran",2005,4518508.69
"IR","Iran",2009,801279.78
"IR","Iran",2014,1052645.64
"IQ","Iraq",2009,2576240602.72
"IQ","Iraq",2005,13399879802.95
"IR","Iran",2015,674800
"IR","Iran",2002,291938.83
"IR","Iran",2007,2470882.55
"IR","Iran",1990,0
"IR","Iran",2010,1688771.75
"IR","Iran",1991,0
"IR","Iran",2004,5851070.75
"IN","India",2004,207735193.54
"IR","Iran",2006,2643075.98
"IR","Iran",2003,672477.51
"IN","India",1979,0
"IR","Iran",2005,4518508.69
"IR","Iran",2002,291938.83
"IN","India",2015,92573153
"IQ","Iraq",2011,1357134507.41
"IQ","Iraq",2015,347537901
"IQ","Iraq",2006,5538272678.2
"IN","India",1973,0
"IN","India",2013,102894946.82
"IR","Iran",2014,1052645.64
"IQ","Iraq",2009,2576240602.72
"IN","India",1985,0
"IN","India",1977,0
"IQ","Iraq",2002,51670.59
"IN","India",1974,0
"IN","India",1988,0
"IQ","Iraq",2004,3724031544.2
"IN","India",1978,0
"IN","India",1987,0
"IN","India",2004,207735193.54
"IN","India",1989,0
"IN","India",2012,89355835.16
"IQ","Iraq",2005,13399879802.95
"IQ","Iraq",2008,3034990494.95
"IQ","Iraq",2010,1755004626.21
"IQ","Iraq",2003,1962123465.78
"IQ","Iraq",2014,361448177.22
"IQ","Iraq",2013,496944511.73
"IR","Iran",1991,0
"IR","Iran",1990,0
"IQ","Iraq",2007,4230897225.11
"IQ","Iraq",2012,609342720.8
"IR","Iran",2015,674800
"IN","India",2014,108556533.19
"IR","Iran",2004,5851070.75
"IR","Iran",2009,801279.78
"IR","Iran",2007,2470882.55
"IR","Iran",2010,1688771.75
"IN","India",1976,0
"IN","India",1975,0
"IN","India",1986,0
"IQ","Iraq",2011,1357134507.41
"IR","Iran",2005,4518508.69
"IQ","Iraq",2015,347537901
"IQ","Iraq",2007,4230897225.11
"IR","Iran",2003,672477.51
"IQ","Iraq",2010,1755004626.21
"IQ","Iraq",2012,609342720.8
"IR","Iran",2014,1052645.64
"IQ","Iraq",2008,3034990494.95
"IN","India",2004,207735193.54
"IN","India",1973,0
"IR","Iran",2007,2470882.55
"IQ","Iraq",2013,496944511.73
"IN","India",1979,0
"IN","India",1977,0
"IN","India",2015,92573153
"IN","India",2012,89355835.16
"IN","India",1975,0
"IN","India",1976,0
"IN","India",2014,108556533.19
"IN","India",1974,0
"IN","India",1987,0
"IN","India",1988,0
"IN","India",1986,0
"IQ","Iraq",2006,5538272678.2
"IQ","Iraq",2004,3724031544.2
"IQ","Iraq",2005,13399879802.95
"IQ","Iraq",2009,2576240602.72
"IR","Iran",2015,674800
"IQ","Iraq",2003,1962123465.78
"IQ","Iraq",2002,51670.59
"IR","Iran",2009,801279.78
"IN","India",1978,0
"IR","Iran",2006,2643075.98
"IQ","Iraq",2014,361448177.22
"IR","Iran",2010,1688771.75
"IR","Iran",2002,291938.83
"IR","Iran",2004,5851070.75
"IR","Iran",1991,0
"IR","Iran",1990,0
"IN","India",1985,0
"IN","India",2013,102894946.82
"IN","India",1989,0
"IR","Iran",1990,0
"IR","Iran",2010,1688771.75
"IN","India",1976,0
"IN","India",1989,0
"IQ","Iraq",2012,609342720.8
"IN","India",1977,0
"IN","India",2013,102894946.82
"IN","India",1978,0
"IR","Iran",1991,0
"IN","India",1975,0
"IQ","Iraq",2014,361448177.22
"IQ","Iraq",2013,496944511.73
"IN","India",2004,207735193.54
"IQ","Iraq",2007,4230897225.11
"IR","Iran",2007,2470882.55
"IR","Iran",2014,1052645.64
"IQ","Iraq",2015,347537901
"IN","India",1979,0
"IN","India",1985,0
"IQ","Iraq",2004,3724031544.2
"IQ","Iraq",2002,51670.59
"IR","Iran",2002,291938.83
"IR","Iran",2004,5851070.75
"IR","Iran",2009,801279.78
"IR","Iran",2015,674800
"IN","India",1986,0
"IN","India",1973,0
"IN","India",1987,0
"IN","India",1988,0
"IQ","Iraq",2009,2576240602.72
"IQ","Iraq",2006,5538272678.2
"IN","India",2012,89355835.16
"IQ","Iraq",2005,13399879802.95
"IQ","Iraq",2003,1962123465.78
"IR","Iran",2003,672477.51
"IN","India",1974,0
"IQ","Iraq",2010,1755004626.21
"IR","Iran",2005,4518508.69
"IN","India",2014,108556533.19
"IQ","Iraq",2011,1357134507.41
"IR","Iran",2006,2643075.98
"IQ","Iraq",2008,3034990494.95
"IR","Iran",2003,672477.51
"IR","Iran",2006,2643075.98
"IQ","Iraq",2002,51670.59
"IR","Iran",2009,801279.78
"IQ","Iraq",2008,3034990494.95
"IR","Iran",2005,4518508.69
"IQ","Iraq",2015,347537901
"IR","Iran",2014,1052645.64
"IR","Iran",2002,291938.83
"IR","Iran",2004,5851070.75
"IQ","Iraq",2007,4230897225.11
"IQ","Iraq",2012,609342720.8
"IQ","Iraq",2011,1357134507.41
"IQ","Iraq",2013,496944511.73
"IQ","Iraq",2014,361448177.22
"IR","Iran",2010,1688771.75
"IR","Iran",2015,674800
"IQ","Iraq",2003,1962123465.78
"IR","Iran",1991,0
"IR","Iran",1990,0
"IR","Iran",2007,2470882.55
"IQ","Iraq",2010,1755004626.21
"IQ","Iraq",2011,1357134507.41
"IR","Iran",2005,4518508.69
"IQ","Iraq",2007,4230897225.11
"IQ","Iraq",2012,609342720.8
"IN","India",1978,0
"IN","India",1987,0
"IN","India",1988,0
"IN","India",1986,0
"IN","India",2014,108556533.19
"IN","India",2012,89355835.16
"IQ","Iraq",2005,13399879802.95
"IQ","Iraq",2009,2576240602.72
"IQ","Iraq",2006,5538272678.2
"IQ","Iraq",2004,3724031544.2
"IQ","Iraq",2002,51670.59
"IQ","Iraq",2008,3034990494.95
"IQ","Iraq",2010,1755004626.21
"IQ","Iraq",2003,1962123465.78
"IQ","Iraq",2014,361448177.22
"IQ","Iraq",2013,496944511.73
"IQ","Iraq",2015,347537901
"IR","Iran",2007,2470882.55
"IR","Iran",2014,1052645.64
"IN","India",1973,0
"IN","India",2015,92573153
"IR","Iran",2003,672477.51
"IR","Iran",2006,2643075.98
"IR","Iran",2002,291938.83
"IR","Iran",2004,5851070.75
"IR","Iran",2009,801279.78
"IR","Iran",2015,674800
"IR","Iran",1991,0
"IR","Iran",1990,0
"IR","Iran",2010,1688771.75
"IN","India",1979,0
"IN","India",2004,207735193.54
"IN","India",1977,0
"IN","India",1974,0
"IN","India",1975,0
"IN","India",1985,0
"IN","India",2013,102894946.82
"IN","India",1976,0
"IN","India",1989,0
"IR","Iran",2014,1052645.64
"IR","Iran",2010,1688771.75
"IR","Iran",2009,801279.78
"IQ","Iraq",2013,496944511.73
"IR","Iran",2004,5851070.75
"IQ","Iraq",2012,609342720.8
"IN","India",1975,0
"IR","Iran",2002,291938.83
"IQ","Iraq",2007,4230897225.11
"IQ","Iraq",2015,347537901
"IR","Iran",2006,2643075.98
"IR","Iran",2003,672477.51
"IQ","Iraq",2011,1357134507.41
"IR","Iran",2005,4518508.69
"IR","Iran",2010,1688771.75
"IN","India",1987,0
"IQ","Iraq",2009,2576240602.72
"IQ","Iraq",2011,1357134507.41
"IN","India",1986,0
"IR","Iran",2006,2643075.98
"IQ","Iraq",2015,347537901
"IQ","Iraq",2012,609342720.8
"IN","India",1978,0
"IR","Iran",1990,0
"IR","Iran",2015,674800
"IR","Iran",2007,2470882.55
"IR","Iran",2014,1052645.64
"IQ","Iraq",2005,13399879802.95
"IR","Iran",2009,801279.78
"IR","Iran",2004,5851070.75
"IR","Iran",2002,291938.83
"IR","Iran",2003,672477.51
"IN","India",2014,108556533.19
"IN","India",1988,0
"IN","India",2012,89355835.16
"IR","Iran",1991,0
"IQ","Iraq",2008,3034990494.95
"IQ","Iraq",2004,3724031544.2
"IQ","Iraq",2006,5538272678.2
"IR","Iran",2005,4518508.69
"IQ","Iraq",2002,51670.59
"IN","India",1986,0
"IR","Iran",2002,291938.83
"IR","Iran",1991,0
"IR","Iran",1990,0
"IQ","Iraq",2009,2576240602.72
"IQ","Iraq",2003,1962123465.78
"IN","India",2014,108556533.19
"IN","India",2012,89355835.16
"IR","Iran",2006,2643075.98
"IQ","Iraq",2012,609342720.8
"IQ","Iraq",2011,1357134507.41
"IR","Iran",2015,674800
"IR","Iran",2003,672477.51
"IQ","Iraq",2010,1755004626.21
"IR","Iran",2010,1688771.75
"IQ","Iraq",2014,361448177.22
"IR","Iran",2009,801279.78
"IQ","Iraq",2005,13399879802.95
"IQ","Iraq",2015,347537901
"IQ","Iraq",2007,4230897225.11
"IQ","Iraq",2013,496944511.73
"IR","Iran",2004,5851070.75
"IR","Iran",2005,4518508.69
"IQ","Iraq",2011,1357134507.41
"IR","Iran",2004,5851070.75
"IQ","Iraq",2012,609342720.8
"IR","Iran",2014,1052645.64
"IR","Iran",2002,291938.83
"IR","Iran",2006,2643075.98
"IR","Iran",2009,801279.78
"IR","Iran",2015,674800
"IR","Iran",1991,0
"IR","Iran",2003,672477.51
"IQ","Iraq",2007,4230897225.11
"IQ","Iraq",2015,347537901
"IR","Iran",2007,2470882.55
"IR","Iran",1990,0
"IQ","Iraq",2013,496944511.73
"IR","Iran",2010,1688771.75
"IN","India",1988,0
"IQ","Iraq",2009,2576240602.72
"IN","India",2012,89355835.16
"IN","India",2004,207735193.54
"IN","India",1977,0
"IQ","Iraq",2014,361448177.22
"IN","India",1973,0
"IN","India",2015,92573153
"IN","India",1987,0
"IQ","Iraq",2002,51670.59
"IQ","Iraq",2013,496944511.73
"IN","India",1986,0
"IN","India",2014,108556533.19
"IQ","Iraq",2003,1962123465.78
"IQ","Iraq",2005,13399879802.95
"IQ","Iraq",2006,5538272678.2
"IQ","Iraq",2004,3724031544.2
"IN","India",1979,0
"IN","India",1978,0
"IN","India",2013,102894946.82
"IN","India",1974,0
"IN","India",1976,0
"IN","India",1985,0
"IQ","Iraq",2010,1755004626.21
"IN","India",1989,0
"IN","India",1975,0
"IQ","Iraq",2008,3034990494.95
"IR","Iran",2004,5851070.75
"IR","Iran",2009,801279.78
"IR","Iran",2003,672477.51
"IR","Iran",2006,2643075.98
"IR","Iran",2015,674800
"IQ","Iraq",2007,4230897225.11
"IQ","Iraq",2015,347537901
"IQ","Iraq",2008,3034990494.95
"IR","Iran",2002,291938.83
"IR","Iran",2005,4518508.69
"IQ","Iraq",2013,496944511.73
"IR","Iran",2007,2470882.55
"IQ","Iraq",2002,51670.59
"IQ","Iraq",2014,361448177.22
"IQ","Iraq",2011,1357134507.41
"IR","Iran",2010,1688771.75
"IQ","Iraq",2010,1755004626.21
"IQ","Iraq",2003,1962123465.78
"IR","Iran",1990,0
"IR","Iran",2014,1052645.64
"IQ","Iraq",2012,609342720.8
"IR","Iran",1991,0
"IQ","Iraq",2009,2576240602.72
"IQ","Iraq",2006,5538272678.2
"IQ","Iraq",2014,361448177.22
"IR","Iran",2003,672477.51
"IN","India",2004,207735193.54
"IN","India",1977,0
"IQ","Iraq",2005,13399879802.95
"IQ","Iraq",2013,496944511.73
"IR","Iran",2002,291938.83
"IR","Iran",2004,5851070.75
"IR","Iran",2009,801279.78
"IQ","Iraq",2011,1357134507.41
"IR","Iran",2014,1052645.64
"IR","Iran",2006,2643075.98
"IQ","Iraq",2012,609342720.8
"IR","Iran",2005,4518508.69
"IR","Iran",2015,674800
"IQ","Iraq",2015,347537901
"IR","Iran",1991,0
"IR","Iran",2010,1688771.75
"IQ","Iraq",2007,4230897225.11
"IR","Iran",2007,2470882.55
"IR","Iran",1990,0
"IN","India",1974,0
"IN","India",1976,0
"IN","India",1979,0
"IN","India",1978,0
"IN","India",1987,0
"IN","India",1975,0
"IN","India",1977,0
"IR","Iran",2006,2643075.98
"IN","India",1985,0
"IQ","Iraq",2003,1962123465.78
"IQ","Iraq",2008,3034990494.95
"IN","India",1989,0
"IQ","Iraq",2010,1755004626.21
"IQ","Iraq",2011,1357134507.41
"IQ","Iraq",2014,361448177.22
"IR","Iran",2003,672477.51
"IN","India",2004,207735193.54
"IQ","Iraq",2005,13399879802.95
"IN","India",2013,102894946.82
"IQ","Iraq",2006,5538272678.2
"IQ","Iraq",2004,3724031544.2
"IR","Iran",2015,674800
"IR","Iran",1991,0
"IR","Iran",1990,0
"IQ","Iraq",2013,496944511.73
"IQ","Iraq",2015,347537901
"IN","India",1988,0
"IN","India",1986,0
"IN","India",2014,108556533.19
"IN","India",2012,89355835.16
"IR","Iran",2004,5851070.75
"IQ","Iraq",2009,2576240602.72
"IQ","Iraq",2012,609342720.8
"IR","Iran",2002,291938.83
"IR","Iran",2007,2470882.55
"IQ","Iraq",2002,51670.59
"IR","Iran",2009,801279.78
"IR","Iran",2010,1688771.75
"IQ","Iraq",2007,4230897225.11
"IR","Iran",2014,1052645.64
"IR","Iran",2005,4518508.69
"IN","India",1974,0
"IR","Iran",2014,1052645.64
"IR","Iran",2007,2470882.55
"IN","India",2004,207735193.54
"IQ","Iraq",2015,347537901
"IQ","Iraq",2012,609342720.8
"IN","India",1989,0
"IR","Iran",2002,291938.83
"IR","Iran",2004,5851070.75
"IR","Iran",1990,0
"IR","Iran",2006,2643075.98
"IQ","Iraq",2013,496944511.73
"IR","Iran",2010,1688771.75
"IQ","Iraq",2007,4230897225.11
"IN","India",1973,0
"IN","India",2004,207735193.54
"IQ","Iraq",2002,51670.59
"IN","India",1977,0
"IQ","Iraq",2006,5538272678.2
"IR","Iran",2006,2643075.98
"IN","India",1979,0
"IR","Iran",1991,0
"IR","Iran",1990,0
"IQ","Iraq",2004,3724031544.2
"IN","India",1974,0
"IN","India",1975,0
"IN","India",1976,0
"IN","India",2015,92573153
"IR","Iran",2005,4518508.69
"IR","Iran",2003,672477.51
"IR","Iran",2002,291938.83
"IQ","Iraq",2011,1357134507.41
"IR","Iran",2009,801279.78
"IR","Iran",2010,1688771.75
"IN","India",1985,0
"IR","Iran",2004,5851070.75
"IN","India",2013,102894946.82
"IN","India",2012,89355835.16
"IQ","Iraq",2005,13399879802.95
"IQ","Iraq",2009,2576240602.72
"IQ","Iraq",2012,609342720.8
"IN","India",1989,0
"IN","India",1978,0
"IR","Iran",2007,2470882.55
"IR","Iran",2014,1052645.64
"IN","India",2014,108556533.19
"IQ","Iraq",2015,347537901
"IQ","Iraq",2010,1755004626.21
"IQ","Iraq",2007,4230897225.11
"IQ","Iraq",2014,361448177.22
"IQ","Iraq",2008,3034990494.95
"IN","India",1988,0
"IR","Iran",2015,674800
"IQ","Iraq",2003,1962123465.78
"IN","India",1986,0
"IQ","Iraq",2013,496944511.73
"IN","India",1987,0
"IR","Iran",2007,2470882.55
"IQ","Iraq",2011,1357134507.41
"IR","Iran",2015,674800
"IR","Iran",2002,291938.83
"IR","Iran",2004,5851070.75
"IR","Iran",2010,1688771.75
"IR","Iran",2005,4518508.69
"IN","India",2004,207735193.54
"IQ","Iraq",2003,1962123465.78
"IR","Iran",2006,2643075.98
"IN","India",1986,0
"IR","Iran",1991,0
"IR","Iran",2003,672477.51
"IR","Iran",1990,0
"IR","Iran",2009,801279.78
"IN","India",1976,0
"IN","India",1989,0
"IN","India",1978,0
"IN","India",1988,0
"IQ","Iraq",2013,496944511.73
"IQ","Iraq",2015,347537901
"IQ","Iraq",2007,4230897225.11
"IQ","Iraq",2012,609342720.8
"IN","India",1973,0
"IN","India",2012,89355835.16
"IQ","Iraq",2005,13399879802.95
"IN","India",1974,0
"IN","India",1975,0
"IQ","Iraq",2002,51670.59
"IQ","Iraq",2008,3034990494.95
"IQ","Iraq",2010,1755004626.21
"IQ","Iraq",2014,361448177.22
"IN","India",1987,0
"IQ","Iraq",2004,3724031544.2
"IR","Iran",2014,1052645.64
"IN","India",1977,0
"IQ","Iraq",2006,5538272678.2
"IN","India",1979,0
"IN","India",2014,108556533.19
"IQ","Iraq",2009,2576240602.72
"IR","Iran",2015,674800
"IN","India",2012,89355835.16
"IQ","Iraq",2005,13399879802.95
"IR","Iran",2010,1688771.75
"IR","Iran",1990,0
"IR","Iran",2007,2470882.55
"IR","Iran",2014,1052645.64
"IN","India",1975,0
"IQ","Iraq",2015,347537901
"IN","India",1976,0
"IN","India",1989,0
"IR","Iran",1991,0
"IR","Iran",2006,2643075.98
"IR","Iran",2002,291938.83
"IR","Iran",2004,5851070.75
"IR","Iran",2009,801279.78
"IQ","Iraq",2006,5538272678.2
"IQ","Iraq",2009,2576240602.72
"IN","India",2004,207735193.54
"IN","India",1977,0
"IN","India",1978,0
"IN","India",2013,102894946.82
"IQ","Iraq",2007,4230897225.11
"IQ","Iraq",2012,609342720.8
"IN","India",1986,0
"IN","India",1987,0
"IN","India",1988,0
"IN","India",2014,108556533.19
"IQ","Iraq",2008,3034990494.95
"IQ","Iraq",2011,1357134507.41
"IQ","Iraq",2004,3724031544.2
"IN","India",1974,0
"IQ","Iraq",2002,51670.59
"IR","Iran",2005,4518508.69
"IR","Iran",2003,672477.51
"IQ","Iraq",2013,496944511.73
"IR","Iran",2009,801279.78
"IR","Iran",2006,2643075.98
"IR","Iran",2003,672477.51
"IR","Iran",1990,0
"IR","Iran",2002,291938.83
"IR","Iran",2004,5851070.75
"IR","Iran",2007,2470882.55
"IR","Iran",2010,1688771.75
"IR","Iran",1991,0
"IR","Iran",2014,1052645.64
"IR","Iran",2015,674800
"IQ","Iraq",2012,609342720.8
"IQ","Iraq",2011,1357134507.41
"IN","India",1978,0
"IQ","Iraq",2003,1962123465.78
"IQ","Iraq",2013,496944511.73
"IN","India",1989,0
"IR","Iran",2003,672477.51
"IN","India",1973,0
"IN","India",2015,92573153
"IR","Iran",2005,4518508.69
"IN","India",1976,0
"IQ","Iraq",2008,3034990494.95
"IQ","Iraq",2010,1755004626.21
"IQ","Iraq",2014,361448177.22
"IQ","Iraq",2015,347537901
"IQ","Iraq",2007,4230897225.11
"IN","India",1977,0
"IR","Iran",1990,0
"IR","Iran",2010,1688771.75
"IN","India",1979,0
"IN","India",1985,0
"IR","Iran",2006,2643075.98
"IQ","Iraq",2004,3724031544.2
"IQ","Iraq",2002,51670.59
"IR","Iran",2002,291938.83
"IR","Iran",2004,5851070.75
"IR","Iran",2009,801279.78
"IN","India",1987,0
"IN","India",2004,207735193.54
"IN","India",2012,89355835.16
"IR","Iran",2015,674800
"IR","Iran",1991,0
"IN","India",2014,108556533.19
"IN","India",1975,0
"IQ","Iraq",2006,5538272678.2
"IN","India",2013,102894946.82
"IN","India",1974,0
"IR","Iran",2014,1052645.64
"IN","India",1988,0
"IN","India",1986,0
"IR","Iran",2007,2470882.55
"IQ","Iraq",2009,2576240602.72
"IQ","Iraq",2005,13399879802.95
"IR","Iran",2010,1688771.75
"IR","Iran",2007,2470882.55
"IQ","Iraq",2012,609342720.8
"IR","Iran",2014,1052645.64
"IQ","Iraq",2007,4230897225.11
"IR","Iran",1990,0
"IR","Iran",2005,4518508.69
"IR","Iran",2015,674800
"IR","Iran",2003,672477.51
"IR","Iran",1991,0
"IQ","Iraq",2011,1357134507.41
"IR","Iran",2009,801279.78
"IQ","Iraq",2015,347537901
"IQ","Iraq",2003,1962123465.78
"IR","Iran",2006,2643075.98
"IR","Iran",2004,5851070.75
"IQ","Iraq",2014,361448177.22
"IQ","Iraq",2013,496944511.73
"IR","Iran",2002,291938.83
"IR","Iran",2009,801279.78
"IR","Iran",2007,2470882.55
"IR","Iran",2010,1688771.75
"IR","Iran",2006,2643075.98
"IR","Iran",2015,674800
"IR","Iran",2002,291938.83
"IR","Iran",2014,1052645.64
"IR","Iran",2004,5851070.75
